中文,总父级,头,颈,上半身2,上半身,下半身,父级,中心,肩.L,上臂.L,小臂.L,手腕.L,肩.R,上臂.R,小臂.R,手腕.R,脚.L,膝.L,踝.L,脚.R,膝.R,踝.R,脚趾.L,脚趾.R,眼.L,眼.R
base_rigify,root,spine.006,spine.005,spine.003,spine.002,spine.001,spine,center,shoulder.L,upper_arm.L,forearm.L,hand.L,shoulder.R,upper_arm.R,forearm.R,hand.R,thigh.L,shin.L,foot.L,thigh.R,shin.R,foot.R,toe.L,toe.R,eye.L,eye.R
mmd_japanese,全ての親,頭,首,上半身2,上半身,下半身,センター,センター,左肩,左腕,左ひじ,左手首,右肩,右腕,右ひじ,右手首,左足,左ひざ,左足首,右足,右ひざ,右足首,左つま先,右つま先,左目,右目
mmd_japaneseLR,全ての親,頭,首,上半身2,上半身,下半身,センター,センター,肩.L,腕.L,ひじ.L,手首.L,肩.R,腕.R,ひじ.R,手首.R,足.L,ひざ.L,足首.L,足.R,ひざ.R,足首.R,つま先.L,つま先.R,目.L,目.R
mmd_english,root,head,neck,upper body 2,upper body,lower body,,center,shoulder_L,arm_L,elbow_L,wrist_L,shoulder_R,arm_R,elbow_R,wrist_R,leg_L,knee_L,ankle_L,leg_R,knee_R,ankle_R,toe_L,toe_R,eye_L,eye_R
,,,,,,,,,,,,,,,,,,,,,,,,,,
3ds_max,,Head,Neck,Chest3,,Chest,,Hips,LeftCollar,LeftShoulder,LeftElbow,LeftWrist,RightCollar,RightShoulder,RightElbow,RightWrist,LeftHip,LeftKnee,LeftAnkle,RightHip,RightKnee,RightAnkle,LeftToe,RightToe,LeftEye,RightEye
bepu,,head,neck,chest,,spine,hips,,shoulder.L,uparm.L,loarm.L,finger3-1.L,shoulder.R,uparm.R,loarm.R,finger3-1.R,upleg.L,loleg.L,foot.L,upleg.R,loleg.R,foot.R,toe1-1.L,toe1-1.R,eye.L,eye.R
Bip_001,Bip001 Root,Bip001 Head,Bip001 Neck,Bip001 Spine2,,Bip001 Spine1,,Bip001 Pelvis,Bip001 L Clavicle,Bip001 L UpperArm,Bip001 L Forearm,Bip001 L Hand,Bip001 R Clavicle,Bip001 R UpperArm,Bip001 R Forearm,Bip001 R Hand,Bip001 L Thigh,Bip001 L Calf,Bip001 L Foot,Bip001 R Thigh,Bip001 R Calf,Bip001 R Foot,Bip001 L Toe0,Bip001 R Toe0,Bip001 L Eye,Bip001 R Eye
biped_3ds_max,Root,Head,Neck,Spine2,,Spine1,,Pelvis,L Clavicle,L UpperArm,L Forearm,L Hand,R Clavicle,R UpperArm,R Forearm,R Hand,L Thigh,L Calf,L Foot,R Thigh,R Calf,R Foot,L Toe0,R Toe0,L Eye,R Eye
biped_sfm,rootTransform,bip_head,bip_neck,bip_spine_2,,bip_spine_1,,bip_pelvis,bip_collar_L,bip_upperArm_L,bip_lowerArm_L,bip_hand_L,bip_collar_R,bip_upperArm_R,bip_lowerArm_R,bip_hand_R,bip_hip_L,bip_knee_L,bip_foot_L,bip_hip_R,bip_knee_R,bip_foot_R,bip_toe_L,bip_toe_R,bip_eye_L,bip_eye_R
daz_poser,,head,neckLower,abdomenUpper,chestLower,abdomenLower,pelvis,hip,lCollar,lShldrBend,lForearmBend,lHand,rCollar,rShldrBend,rForearmBend,rHand,lThighBend,lShin,lMetatarsals,rThighBend,rShin,rMetatarsals,lToe,rToe,leftEye,rightEye
doa5lr,,MOT01_Head,MOT15_Neck,MOT02_Chest,,MOT16_Waist,,MOT00_Hips,MOT_*Shoulder.1.L,MOT_*Arm.1.L,MOT_*ForeArm.1.L,MOT_*Hand.1.L,MOT_*Shoulder.1.R,MOT_*Arm.1.R,MOT_*ForeArm.1.R,MOT_*Hand.1.R,MOT_*UpLeg.1.L,MOT_*Leg.1.L,MOT_*Foot.1.L,MOT_*UpLeg.1.R,MOT_*Leg.1.R,MOT_*Foot.1.R,MOT_*Toe.1.L,MOT_*Toe.1.R,OPT_Face_*_eye.0.l,OPT_Face_*_eye.0.r
iClone7,RootNode,Head,NeckTwist01,Spine01,,Waist,Pelvis,Hip,L_Clavicle,L_Upperarm,L_Forearm,L_Hand,R_Clavicle,R_Upperarm,R_Forearm,R_Hand,L_Thigh,L_Calf,L_Foot,R_Thigh,R_Calf,R_Foot,L_ToeBase,R_ToeBase,L_Eye,R_Eye
makehuman_mhx,,head,neck02,spine02,,spine04,,root,shoulder01.L,upperarm02.L,lowerarm01.L,wrist.L,shoulder01.R,upperarm02.R,lowerarm01.R,wrist.R,upperleg01.L,lowerleg01.L,foot.L,upperleg01.R,lowerleg01.R,foot.R,toe1-1.L,toe1-1.R,eye.R,eye.L
manuel_bastioni_lab,root,head,neck,spine02,,spine01,,pelvis,clavicle_L,upperarm_L,lowerarm_L,hand_L,clavicle_R,upperarm_R,lowerarm_R,hand_R,thigh_L,calf_L,foot_L,thigh_R,calf_R,foot_R,toes_L,toes_R,,
mblab,root,head,neck,spine03,spine02,spine01,pelvis,IK_control_hip_pos,clavicle_L,upperarm_L,lowerarm_L,hand_L,clavicle_R,upperarm_R,lowerarm_R,hand_R,thigh_L,calf_L,foot_L,thigh_R,calf_R,foot_R,toes_L,toes_R,eye_L,eye_R
motion_builder,,Head,Neck,Spine2,,chest,,Hips,LeftShoulder,LeftUpArm,LeftLowArm,LeftHand,RightShoulder,RightUpArm,RightLowArm,RightHand,LeftUpLeg,LeftLowLeg,LeftFoot,RightUpLeg,RightLowLeg,RightFoot,LeftToeBase,RightToeBase,LeftEye,RightEye
project_mirai,gblctr,cl_kao,kl_kubi,kl_mune_b_wj,,j_mune_wj,kl_kosi_etc_wj,n_hara_cp,kl_waki_l_wj,j_kata_l_wj_cu,j_ude_l_wj,e_ude_l_cp,kl_waki_r_wj,j_kata_r_wj_cu,j_ude_r_wj,e_ude_r_cp,j_momo_l_wj,j_sune_l_wj,kl_asi_l_wj_co,j_momo_r_wj,j_sune_r_wj,kl_asi_r_wj_co,kl_toe_l_wj,kl_toe_r_wj,kl_eye_l_wj,kl_eye_r_wj
sims_2,auskel,head,neck,spine2,,spine0,,root_rot,l_clavicle,l_upperarm,l_forearm,l_hand,r_clavicle,r_upperarm,r_forearm,r_hand,l_thigh,l_calf,l_foot,r_thigh,r_calf,r_foot,l_toe,r_toe,l_eye,r_eye
sims_3,b__ROOT__,b__Head__,b__Neck__,b__Spine1__,,b__Spine0__,b__Pelvis__,b__ROOT_bind__,b__L_Clavicle__,b__L_UpperArm__,b__L_Forearm__,b__L_Hand__,b__R_Clavicle__,b__R_UpperArm__,b__R_Forearm__,b__R_Hand__,b__L_Thigh__,b__L_Calf__,b__L_Foot__,b__R_Thigh__,b__R_Calf__,b__R_Foot__,b__L_Toe__,b__R_Toe__,b__LeftEye__,b__RightEye__
type_x,,Head,Neck,,,Chest1,,Hip,Left Collar,Left Shoulder,Left Forearm,Left Hand,Right Collar,Right Shoulder,Right Forearm,Right Hand,Left Thigh,Left Shin,Left Foot,Right Thigh,Right Shin,Right Foot,Left Toe,Right Toe,Left Eye,Right Eye
