blender_rigify,thumb.02.L,thumb.03.L,f_index.01.L,f_index.02.L,f_index.03.L,f_middle.01.L,f_middle.02.L,f_middle.03.L,f_ring.01.L,f_ring.02.L,f_ring.03.L,f_pinky.01.L,f_pinky.02.L,f_pinky.03.L,thumb.02.R,thumb.03.R,f_index.01.R,f_index.02.R,f_index.03.R,f_middle.01.R,f_middle.02.R,f_middle.03.R,f_ring.01.R,f_ring.02.R,f_ring.03.R,f_pinky.01.R,f_pinky.02.R,f_pinky.03.R,thumb.01.L,thumb.01.R
mmd_japanese,左親指１,左親指２,左人指１,左人指２,左人指３,左中指１,左中指２,左中指３,左薬指１,左薬指２,左薬指３,左小指１,左小指２,左小指３,右親指１,右親指２,右人指１,右人指２,右人指３,右中指１,右中指２,右中指３,右薬指１,右薬指２,右薬指３,右小指１,右小指２,右小指３,左親指０,右親指０
mmd_japaneseLR,親指１.L,親指２.L,人指１.L,人指２.L,人指３.L,中指１.L,中指２.L,中指３.L,薬指１.L,薬指２.L,薬指３.L,小指１.L,小指２.L,小指３.L,親指１.R,親指２.R,人指１.R,人指２.R,人指３.R,中指１.R,中指２.R,中指３.R,薬指１.R,薬指２.R,薬指３.R,小指１.R,小指２.R,小指３.R,親指０.L,親指０.R
mmd_english,thumb1_L,thumb2_L,fore1_L,fore2_L,fore3_L,middle1_L,middle2_L,middle3_L,third1_L,third2_L,third3_L,little1_L,little2_L,little3_L,thumb1_R,thumb2_R,fore1_R,fore2_R,fore3_R,middle1_R,middle2_R,middle3_R,third1_R,third2_R,third3_R,little1_R,little2_R,little3_R,thumb0_L,thumb0_R
xna_lara,arm left finger 1b,arm left finger 1c,arm left finger 2a,arm left finger 2b,arm left finger 2c,arm left finger 3a,arm left finger 3b,arm left finger 3c,arm left finger 4a,arm left finger 4b,arm left finger 4c,arm left finger 5a,arm left finger 5b,arm left finger 5c,arm right finger 1b,arm right finger 1c,arm right finger 2a,arm right finger 2b,arm right finger 2c,arm right finger 3a,arm right finger 3b,arm right finger 3c,arm right finger 4a,arm right finger 4b,arm right finger 4c,arm right finger 5a,arm right finger 5b,arm right finger 5c,arm left finger 1a,arm right finger 1a
daz_poser,lThumb2,lThumb3,lIndex1,lIndex2,lIndex3,lMid1,lMid2,lMid3,lRing1,lRing2,lRing3,lPinky1,lPinky2,lPinky3,rThumb2,rThumb3,rIndex1,rIndex2,rIndex3,rMid1,rMid2,rMid3,rRing1,rRing2,rRing3,rPinky1,rPinky2,rPinky3,lThumb1,rThumb1
mblab,thumb02_L,thumb03_L,index01_L,index02_L,index03_L,middle01_L,middle02_L,middle03_L,ring01_L,ring02_L,ring03_L,pinky01_L,pinky02_L,pinky03_L,thumb02_R,thumb03_R,index01_R,index02_R,index03_R,middle01_R,middle02_R,middle03_R,ring01_R,ring02_R,ring03_R,pinky01_R,pinky02_R,pinky03_R,thumb01_L,thumb01_R
sims_2,l_thumb1,l_thumb2,l_index0,l_index1,l_index2,l_mid0,l_mid1,l_mid2,l_ring0,l_ring1,l_ring2,l_pinky0,l_pinky1,l_pinky2,r_thumb1,r_thumb2,r_index0,r_index1,r_index2,r_mid0,r_mid1,r_mid2,r_ring0,r_ring1,r_ring2,r_pinky0,r_pinky1,r_pinky2,l_thumb0,r_thumb0
motion_builder,LeftHandThumb2,LeftHandThumb3,LeftHandIndex1,LeftHandIndex2,LeftHandIndex3,LeftHandMiddle1,LeftHandMiddle2,LeftHandMiddle3,LeftHandRing1,LeftHandRing2,LeftHandRing3,LeftHandPinky1,LeftHandPinky2,LeftHandPinky3,RightHandThumb2,RightHandThumb3,RightHandIndex1,RightHandIndex2,RightHandIndex3,RightHandMiddle1,RightHandMiddle2,RightHandMiddle3,RightHandRing1,RightHandRing2,RightHandRing3,RightHandPinky1,RightHandPinky2,RightHandPinky3,LeftHandThumb1,RightHandThumb1
3ds_max,LeftFinger01,LeftFinger02,LeftFinger1,LeftFinger11,LeftFinger12,LeftFinger2,LeftFinger21,LeftFinger22,LeftFinger3,LeftFinger31,LeftFinger32,LeftFinger4,LeftFinger41,LeftFinger42,RightFinger01,RightFinger02,RightFinger1,RightFinger11,RightFinger12,RightFinger2,RightFinger21,RightFinger22,RightFinger3,RightFinger31,RightFinger32,RightFinger4,RightFinger41,RightFinger42,LeftFinger0,RightFinger0
bepu,finger1-3.L,finger1-4.L,finger2-2.L,finger2-3.L,finger2-4.L,finger3-2.L,finger3-3.L,finger3-4.L,finger4-2.L,finger4-3.L,finger4-4.L,finger5-2.L,finger5-3.L,finger5-4.L,finger1-3.R,finger1-4.R,finger2-2.R,finger2-3.R,finger2-4.R,finger3-2.R,finger3-3.R,finger3-4.R,finger4-2.R,finger4-3.R,finger4-4.R,finger5-2.R,finger5-3.R,finger5-4.R,finger1-2.L,finger1-2.R
